id;tier;status;class;year;country;region;cases;deaths;source;url;comment
ecdc-andv-2026;official;official_total;OFFICIAL_AGGREGATE;2026;Multi-country / MV Hondius;South Atlantic / Tenerife;11;3;ECDC;https://www.ecdc.europa.eu/en/infectious-disease-topics/hantavirus-infection/surveillance-and-updates/andes-hantavirus-outbreak;Официальная сводка ECDC. Используется как основной источник по вспышке.
arcgis-signal-7;signal;confirmed;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;ZURICH;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.bag.admin.ch/en/newnsb/p--A7yPSfxdBqR0N9kZMC;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Departed ship, Swiss national, confirmed case
arcgis-signal-999;signal;suspected;SIGNAL_NOT_CONFIRMED_CASE;2026;ZURICH;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.cbc.ca/news/health/hondius-ship-hantavirus-andes-strain-9.7189281;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Departed ship, wife of case 7, in isolation
arcgis-signal-3;signal;confirmed;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;JOHANNESBURG;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON599;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Confirmed Hantavirus, British National
arcgis-signal-1;signal;deceased;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;MV HONDIUS;ArcGIS independent tracker;1;1;ArcGIS independent dashboard; listed source: https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON600;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Initial case
arcgis-signal-2;signal;deceased;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;JOHANNESBURG;ArcGIS independent tracker;1;1;ArcGIS independent dashboard; listed source: https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON599;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Wife of initial case, confirmed case
arcgis-signal-9;signal;suspected;SIGNAL_NOT_CONFIRMED_CASE;2026;NETHERLANDS;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.cnn.com/2026/05/07/world/hantavirus-ship-tenerife-outbreak-intl;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;German woman, ship passenger & connected to case 4 unknown if in hospital
arcgis-signal-6;signal;confirmed;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;NETHERLANDS;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: ArcGIS independent dashboard;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Dutch crew member, confirmed positive
arcgis-signal-5;signal;confirmed;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;NETHERLANDS;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.cnn.com/2026/05/07/world/hantavirus-ship-tenerife-outbreak-intl;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Ship crew, doctor, evacuated from ship, confirmed hantavirus
arcgis-signal-4;signal;deceased;SIGNAL_CASE_NEEDS_OFFICIAL_MATCH;2026;MV HONDIUS;ArcGIS independent tracker;1;1;ArcGIS independent dashboard; listed source: https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON599;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;German National, ship passenger, confirmed hantavirus
arcgis-signal-10;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;NETHERLANDS;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://nos.nl/artikel/2613426-stewardess-mogelijk-ook-besmet-met-hanta-ligt-in-amsterdam-umc;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Flight attendant, monitoring but not confirmed case. Symptomatic
arcgis-signal-11;signal;suspected;SIGNAL_NOT_CONFIRMED_CASE;2026;SINGAPORE;ArcGIS independent tracker;1;0;ArcGIS independent dashboard; listed source: https://www.channelnewsasia.com/singapore/hantavirus-mv-hondius-ncid-test-virus-isolated-cda-6106671;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Has runny nose, awaiting test results. Was onbord MV Hondius, raveled on same flight from St Helena to Johannesbug on April 25.
arcgis-signal-12;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;SINGAPORE;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.channelnewsasia.com/singapore/hantavirus-mv-hondius-ncid-test-virus-isolated-cda-6106671;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard MV Hondius, traveled on same flight from St Helena to Johannesbug on April 25. no symptoms
arcgis-signal-24;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;GEORGIA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cnn.com/2026/05/07/world/hantavirus-ship-tenerife-outbreak-intl;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, departed April 24th, no symptoms
arcgis-signal-14;signal;monitoring;SIGNAL_NOT_CONFIRMED_CASE;2026;GEORGIA, USA;ArcGIS independent tracker;0;0;ArcGIS independent dashboard; listed source: https://www.cnn.com/2026/05/07/world/hantavirus-ship-tenerife-outbreak-intl;https://www.arcgis.com/apps/dashboards/5c68442d2afc42d7ba2696e4cd393729;Onboard ship, departed April 24th, no symptoms
